company_id,company
1,Sun Taxi
2,Taxi Affiliation Services
3,Flash Cab
4,Blue Ribbon Taxi Association
5,5 Star Taxi
6,Top Cab
7,Choice Taxi Association
8,City Service
9,Star North Taxi Management Llc
10,Chicago City Taxi Association
11,Taxicab Insurance Agency Llc
12,Medallion Leasin
13,Chicago Independents
14,U Taxicab
15,Globe Taxi
16,Koam Taxi Association
17,Patriot Taxi Dba Peace Taxi Associat
18,"Taxicab Insurance Agency, LLC"
19,Metro Jet Taxi A.
20,Choice Taxi Association Inc
21,Setare Inc
22,Taxi Affiliation Services Llc - Yell
23,Chicago Taxicab
24,312 Medallion Management Corp
25,2733 - 74600 Benny Jona
26,6574 - Babylon Express Inc.
27,3556 - 36214 RC Andrews Cab
28,5167 - 71969 5167 Taxi Inc
29,Petani Cab Corp
